title,matched_title,gutenberg_id,download_url
Cripps the Carrier,"Cripps, the Carrier: A Woodland Tale",43281,https://www.gutenberg.org/ebooks/43281.txt.utf-8
Orlando Furioso,Orlando Furioso,3747,https://www.gutenberg.org/files/3747/3747-0.txt
The Cruise of the Dazzler,The Cruise of the Dazzler,11051,https://www.gutenberg.org/files/11051/11051.zip
The Man Who Would Be King,The Man Who Would Be King,8147,https://www.gutenberg.org/files/8147/8147-0.txt
Picture and Text,Picture and Text: 1893,25767,https://www.gutenberg.org/files/25767/25767-0.txt
The Mystery of the Sea,The Mystery of the Sea,42455,https://www.gutenberg.org/files/42455/42455-0.txt
Iola Leroy,"Iola Leroy; Or, Shadows Uplifted",12352,https://www.gutenberg.org/ebooks/12352.txt.utf-8
Salammbô,"Œuvres complètes de Gustave Flaubert, tome 2: Salammbô",48881,https://www.gutenberg.org/files/48881/48881-0.txt
Sense and Sensibility,Sense and Sensibility,161,https://www.gutenberg.org/files/161/161-0.txt
A Pail of Air,A Pail of Air,51461,https://www.gutenberg.org/ebooks/51461.txt.utf-8
Amy Foster,Amy Foster,495,https://www.gutenberg.org/files/495/495-0.txt
The Spanish Curate,The Spanish Curate: A Comedy,12141,https://www.gutenberg.org/ebooks/12141.txt.utf-8
To Have and to Hold,To Have and to Hold,2807,https://www.gutenberg.org/files/2807/2807-0.txt
A Plague of Pythons,Plague of Pythons,51804,https://www.gutenberg.org/ebooks/51804.txt.utf-8
Rose in Bloom,"Rose in Bloom: A Sequel to ""Eight Cousins""",2804,https://www.gutenberg.org/files/2804/2804-0.txt
The Coquette,A Fair Mystery: The Story of a Coquette,41932,https://www.gutenberg.org/ebooks/41932.txt.utf-8
The Duchess of Padua,The Duchess of Padua,875,https://www.gutenberg.org/files/875/875-0.txt
The Dark Frigate,The Dark Frigate,50598,https://www.gutenberg.org/ebooks/50598.txt.utf-8
Captain Brassbound's Conversion,Captain Brassbound's Conversion,3418,https://www.gutenberg.org/files/3418/3418-0.txt
The House of the Seven Gables,The House of the Seven Gables,77,https://www.gutenberg.org/files/77/77-0.txt
The Lady with the Dog,The Lady with the Dog and Other Stories,13415,https://www.gutenberg.org/ebooks/13415.txt.utf-8
Tarzan of the Apes,Tarzan of the Apes,23712,https://www.gutenberg.org/files/23712/23712-readme.txt
De rerum natura,Naturaleza de las cosas: Versión en prosa del poema «De rerum natura»,62711,https://www.gutenberg.org/files/62711/62711-0.txt
The Just and the Unjust,"With Sam Houston in Texas: A Boy Volunteer in the Texas Struggles for Independence, When in the Years 1835-1836 the Texas Colonists Threw Off the Unjust Rule of Mexico, and by Heroic Deeds Established, Under the Guidance of the Bluff Sam Houston, Their Own Free Republic Which To-day is the Great Lone Star State",62898,https://www.gutenberg.org/files/62898/62898-0.txt
In Search of the Castaways,"In Search of the Castaways; Or, The Children of Captain Grant",2083,https://www.gutenberg.org/files/2083/2083-0.txt
An Old-Fashioned Girl,An Old-Fashioned Girl,2787,https://www.gutenberg.org/files/2787/2787-0.txt
The Rainbow,Roster of the Rainbow division (Forty-Second) Major General Wm. A. Mann commanding,65236,https://www.gutenberg.org/files/65236/65236-0.txt
The Bronze Eagle,The Bronze Eagle: A Story of the Hundred Days,25955,https://www.gutenberg.org/files/25955/25955-0.txt
The Art of War,"South Africa and the Transvaal War, Vol. 6 (of 8): From the Occupation of Pretoria to Mr. Kruger's Departure from South Africa, with a Summarised Account of the Guerilla War to March 1901",46303,https://www.gutenberg.org/ebooks/46303.txt.utf-8
